Mean Power,Peak Power,Energy,Hamming Distance,Label,Predicted Label
0.051243729,0.079811,2.803267903,0,Normal,Normal
0.057037176,0.166569,3.75575879,6,Attack,Attack
0.053963292,0.076219,3.075844207,0,Normal,Normal
0.055018175,0.162737,3.420663474,7,Attack,Attack
0.051109658,0.076754,2.7699892,0,Normal,Normal
0.057904715,0.170231,3.823485505,12,Attack,Attack
0.052488448,0.072167,2.899098678,0,Normal,Normal
0.054667222,0.166578,3.464389955,9,Attack,Attack
0.052259225,0.076162,2.887291225,0,Normal,Normal
0.057568818,0.168978,3.82240748,9,Attack,Attack
0.05161245,0.074988,2.818874321,0,Normal,Normal
0.057159778,0.171607,3.797303254,8,Attack,Attack
0.05229949,0.074187,2.898388895,0,Normal,Normal
0.053016802,0.164091,3.277656034,8,Attack,Attack
0.05237729,0.069585,2.879280061,0,Normal,Normal
0.05495806,0.153703,3.34763004,11,Attack,Attack
0.055039162,0.075885,3.168100281,0,Normal,Normal
0.055993382,0.164113,3.566630754,11,Attack,Attack
0.05667966,0.078145,3.409451164,0,Normal,Normal
0.060278931,0.1643,4.142826881,13,Attack,Attack
0.05167333,0.072213,2.831923071,0,Normal,Normal
0.052948234,0.16104,3.179489589,9,Attack,Attack
0.052613002,0.076915,2.935754939,0,Normal,Normal
0.055178371,0.161881,3.43625862,4,Attack,Attack
0.048702448,0.073163,2.496485213,0,Normal,Normal
0.05631218,0.178086,3.619924053,8,Attack,Attack
0.053839244,0.071581,3.030235597,0,Normal,Normal
0.054928169,0.162983,3.424500531,8,Attack,Attack
0.051080455,0.075976,2.768726693,0,Normal,Normal
0.057061235,0.164203,3.71953313,8,Attack,Attack
0.049404058,0.07193,2.583875885,0,Normal,Normal
0.058019369,0.163876,3.886192667,8,Attack,Attack
0.053535477,0.073746,3.020955685,0,Normal,Normal
0.054918683,0.162066,3.434429175,8,Attack,Attack
0.053524861,0.077571,3.040821948,0,Normal,Normal
0.053659241,0.152324,3.212497178,10,Attack,Attack
0.051502401,0.071777,2.788892427,0,Normal,Normal
0.058362447,0.166996,3.923774791,7,Attack,Attack
0.049476896,0.068812,2.587653722,0,Normal,Normal
0.057885712,0.16496,3.760465797,8,Attack,Attack
0.054847992,0.079993,3.188758001,0,Normal,Normal
0.054977969,0.155344,3.458695211,8,Attack,Attack
0.053334262,0.078077,3.012541464,0,Normal,Normal
0.056747405,0.171506,3.738002459,12,Attack,Attack
0.054827649,0.076863,3.159209784,0,Normal,Normal
0.054831389,0.166135,3.492628213,8,Attack,Attack
0.055999953,0.07954,3.325497013,0,Normal,Normal
0.056431806,0.173052,3.73653307,7,Attack,Attack
0.051749489,0.075265,2.847084146,0,Normal,Normal
0.051849631,0.156733,3.16949824,10,Attack,Attack
0.054458891,0.076996,3.130159022,0,Normal,Normal
0.056379544,0.171746,3.733560462,10,Attack,Attack
0.051549857,0.076358,2.816795912,0,Normal,Normal
0.055394862,0.15165,3.407487809,8,Attack,Attack
0.050878709,0.078892,2.760825123,0,Normal,Normal
0.056126568,0.164044,3.599149436,8,Attack,Attack
0.053656691,0.074013,3.030309269,0,Normal,Normal
0.054859485,0.159421,3.401640432,9,Attack,Attack
0.051312505,0.07671,2.79747887,0,Normal,Normal
0.053388016,0.156441,3.328709421,7,Attack,Attack
0.054330763,0.074528,3.104001614,0,Normal,Normal
0.055177408,0.163643,3.38220046,7,Attack,Attack
0.053940396,0.068107,3.039147336,0,Normal,Normal
0.056267319,0.161557,3.551101785,7,Attack,Attack
0.051058559,0.07276,2.750629108,0,Normal,Normal
0.056566496,0.159897,3.614758065,9,Attack,Attack
0.053884534,0.077551,3.069574028,0,Normal,Normal
0.054781723,0.158881,3.43034039,6,Attack,Attack
0.054575293,0.077609,3.136512226,0,Normal,Normal
0.056487362,0.169988,3.691678632,6,Attack,Attack
0.051970839,0.075848,2.869019847,0,Normal,Normal
0.056131852,0.161985,3.634467859,10,Attack,Attack
0.049057961,0.070237,2.554662857,0,Normal,Normal
0.056296371,0.166544,3.591021864,8,Attack,Attack
0.052936881,0.077767,2.9500084,0,Normal,Normal
0.053869109,0.15967,3.353222842,10,Attack,Attack
0.055420299,0.080114,3.246260946,0,Normal,Normal
0.051820978,0.153047,2.999153501,7,Attack,Attack
0.054377557,0.076207,3.127416523,0,Normal,Normal
0.056993417,0.157318,3.577791716,8,Attack,Attack
0.054504591,0.079271,3.160770518,0,Normal,Normal
0.053851265,0.164282,3.272189292,7,Attack,Attack
0.05404299,0.079104,3.093827072,0,Normal,Normal
0.054745893,0.160421,3.368620242,10,Attack,Attack
0.05453906,0.075445,3.147109293,0,Normal,Normal
0.052644828,0.158242,3.130371878,7,Attack,Attack
0.053281661,0.073116,3.000478744,0,Normal,Normal
0.05510246,0.161978,3.510393268,10,Attack,Attack
0.053957019,0.078306,3.072454772,0,Normal,Normal
0.058224625,0.17204,3.982383568,12,Attack,Attack
